id,"district_code","zipcode",district_id
1,"100101","10200",1
2,"100102","10200",2
3,"100103","10200",3
4,"100104","10200",4
5,"100105","10200",5
6,"100106","10200",6
7,"100107","10200",7
8,"100108","10200",8
9,"100109","10200",9
10,"100110","10200",10
11,"100111","10200",11
12,"100112","10200",12
13,"100201","10300",13
14,"100202","10300",14
15,"100203","10300",15
16,"100204","10300",16
17,"100206","10300",18
18,"100301","10530",20
19,"100302","10530",21
20,"100303","10530",22
21,"100304","10530",23
22,"100305","10530",24
23,"100306","10530",25
24,"100307","10530",26
25,"100308","10530",27
26,"100401","10500",28
27,"100402","10500",29
28,"100403","10500",30
29,"100404","10500",31
30,"100405","10500",32
31,"100502","10220",34
32,"100508","10220",40
33,"100601","10240",43
34,"100608","10240",50
35,"100701","10330",51
36,"100702","10330",52
37,"100703","10330",53
38,"100704","10330",54
39,"100801","10100",55
40,"100802","10100",56
41,"100803","10100",57
42,"100804","10100",58
43,"100805","10100",59
44,"100905","10260",65
45,"101001","10510",73
46,"101002","10510",74
47,"101101","10520",80
48,"101102","10520",81
49,"101103","10520",82
50,"101104","10520",83
51,"101105","10520",84
52,"101106","10520",85
53,"101203","10120",88
54,"101204","10120",89
55,"101301","10100",96
56,"101302","10100",97
57,"101303","10100",98
58,"101401","10400",99
59,"101501","10600",105
60,"101502","10600",106
61,"101503","10600",107
62,"101504","10600",108
63,"101505","10600",109
64,"101506","10600",110
65,"101507","10600",111
66,"101601","10600",113
67,"101602","10600",114
68,"101701","10310",115
69,"101702","10310",116
70,"101704","10310",118
71,"101801","10600",119
72,"101802","10600",120
73,"101803","10600",121
74,"101804","10600",122
75,"101901","10170",123
76,"101902","10170",124
77,"101903","10170",125
78,"101904","10170",126
79,"101905","10170",127
80,"101907","10170",129
81,"102004","10700",134
82,"102005","10700",135
83,"102006","10700",136
84,"102007","10700",137
85,"102009","10700",139
86,"102105","10150",147
87,"102107","10150",149
88,"102201","10160",150
89,"102202","10160",151
90,"102203","10160",152
91,"102204","10160",153
92,"102205","10160",154
93,"102206","10160",155
94,"102207","10160",156
95,"102208","10160",157
96,"102209","10160",158
97,"102210","10160",159
98,"102302","10160",161
99,"102303","10160",162
100,"102401","10140",163
101,"102402","10140",164
102,"102403","10140",165
103,"102404","10140",166
104,"102501","10700",167
105,"102502","10700",168
106,"102503","10700",169
